Epoch [98/5504], Loss: 0.0011
Epoch [98/5536], Loss: 0.0004
Epoch [98/5568], Loss: 0.0004
Epoch [98/5600], Loss: 0.0002
Epoch [98/5632], Loss: 0.0005
Epoch [98/5664], Loss: 0.0012
Epoch [98/5696], Loss: 0.0005
Epoch [98/5728], Loss: 0.0012
Epoch [98/5760], Loss: 0.0012
Epoch [98/5792], Loss: 0.0004
Epoch [98/5824], Loss: 0.0008
Epoch [98/5856], Loss: 0.0004
Epoch [98/5888], Loss: 0.0005
Epoch [98/5920], Loss: 0.0004
Epoch [98/5952], Loss: 0.0006
Epoch [98/5984], Loss: 0.0005
Epoch [98/6016], Loss: 0.0005
Epoch [98/6048], Loss: 0.0004
Epoch [98/6080], Loss: 0.0006
Epoch [98/6112], Loss: 0.0004
Epoch [98/6144], Loss: 0.0005
Epoch [98/6176], Loss: 0.0005
Epoch [98/6208], Loss: 0.0010
Epoch [98/6240], Loss: 0.0007
Epoch [98/6272], Loss: 0.0003
Epoch [98/6304], Loss: 0.0005
Epoch [98/6336], Loss: 0.0006
Epoch [98/6368], Loss: 0.0005
Epoch [98/6400], Loss: 0.0005
Epoch [98/6432], Loss: 0.0004
Epoch [98/6464], Loss: 0.0006
Epoch [98/6496], Loss: 0.0004
Epoch [98/6528], Loss: 0.0005
Epoch [98/6560], Loss: 0.0007
Epoch [98/6592], Loss: 0.0003
Epoch [98/6624], Loss: 0.0005
Epoch [98/6656], Loss: 0.0004
Epoch [98/6688], Loss: 0.0005
Epoch [98/6720], Loss: 0.0006
Epoch [98/6752], Loss: 0.0006
Epoch [98/6784], Loss: 0.0005
Epoch [98/6816], Loss: 0.0004
Epoch [98/6848], Loss: 0.0005
Epoch [98/6880], Loss: 0.0005
Epoch [98/6912], Loss: 0.0004
Epoch [98/6944], Loss: 0.0005
Epoch [98/6976], Loss: 0.0005
Epoch [98/7008], Loss: 0.0007
Epoch [98/7040], Loss: 0.0005
Epoch [98/7072], Loss: 0.0005
Epoch [98/7104], Loss: 0.0007
Epoch [98/7136], Loss: 0.0005
Epoch [98/7168], Loss: 0.0005
Epoch [98/7200], Loss: 0.0006
Epoch [98/7232], Loss: 0.0004
Epoch [98/7264], Loss: 0.0008
Epoch [98/7296], Loss: 0.0005
Epoch [98/7328], Loss: 0.0004
Epoch [98/7360], Loss: 0.0006
Epoch [98/7392], Loss: 0.0005
Epoch [98/7424], Loss: 0.0007
Epoch [98/7456], Loss: 0.0006
Epoch [98/7488], Loss: 0.0004
Epoch [98/7520], Loss: 0.0012
Epoch [98/7552], Loss: 0.0006
Epoch [98/7584], Loss: 0.0006
Epoch [98/7616], Loss: 0.0005
Epoch [98/7648], Loss: 0.0004
Epoch [98/7680], Loss: 0.0009
Epoch [98/7712], Loss: 0.0004
Epoch [98/7744], Loss: 0.0005
Epoch [98/7776], Loss: 0.0008
Epoch [98/7808], Loss: 0.0006
Epoch [98/7840], Loss: 0.0004
Epoch [98/7872], Loss: 0.0007
Epoch [98/7904], Loss: 0.0004
Epoch [98/7936], Loss: 0.0012
Epoch [98/7968], Loss: 0.0007
Epoch [98/8000], Loss: 0.0007
